training_batch_size,learning_rate,validation_fraction,stop_after_epochs,mean_r2,mean_rmse,mean_width
64,0.001,0.05,5,0.908543558716774,0.016665952,0.12054282
64,0.001,0.05,10,0.9019145722389221,0.016936203,0.12344883
64,0.001,0.05,20,0.9082727974653244,0.01638787,0.115994245
64,0.001,0.1,5,0.9109443714618682,0.016561566,0.1221927
64,0.001,0.1,10,0.9032962596416474,0.016972497,0.11795836
64,0.001,0.1,20,0.9101299868822098,0.01677084,0.11585716
64,0.001,0.2,5,0.9078123979568481,0.016780727,0.11739498
64,0.001,0.2,10,0.9114045851230621,0.01670237,0.114721246
64,0.001,0.2,20,0.9010528445243835,0.016720172,0.11391958
64,0.0005,0.05,5,0.9062908937931061,0.016917774,0.12226843
64,0.0005,0.05,10,0.9112238179445267,0.01659119,0.12312423
64,0.0005,0.05,20,0.9011189116239547,0.017308533,0.12916507
64,0.0005,0.1,5,0.9045323163270951,0.016705064,0.11706761
64,0.0005,0.1,10,0.9139643732309342,0.016343046,0.122828946
64,0.0005,0.1,20,0.9112205904722214,0.016532717,0.1180697
64,0.0005,0.2,5,0.8722102866172791,0.019921273,0.15947515
64,0.0005,0.2,10,0.9029008842706681,0.016812127,0.12144916
64,0.0005,0.2,20,0.9041962223052978,0.016957622,0.12320659
64,0.0001,0.05,5,0.8932857320308686,0.018648868,0.14005777
64,0.0001,0.05,10,0.8986764401197433,0.016709488,0.11975075
64,0.0001,0.05,20,0.9015585000514984,0.016811127,0.11747835
64,0.0001,0.1,5,0.794799644112587,0.025775582,0.17295974
64,0.0001,0.1,10,0.9012848569154739,0.01711191,0.128328
64,0.0001,0.1,20,0.9038918529748916,0.016868334,0.1231699
64,0.0001,0.2,5,0.9055393779277802,0.01708828,0.12714636
64,0.0001,0.2,10,0.894002515077591,0.018114112,0.13954835
64,0.0001,0.2,20,0.9089934710264206,0.017033376,0.12837386
128,0.001,0.05,5,0.9142216339111328,0.016388042,0.1213556
128,0.001,0.05,10,0.9106405789852142,0.016737083,0.13130565
128,0.001,0.05,20,0.9083190692663192,0.01626651,0.11815009
128,0.001,0.1,5,0.9075501099824905,0.016583089,0.120712295
128,0.001,0.1,10,0.9065300452709198,0.016737435,0.11775066
128,0.001,0.1,20,0.9073007000684739,0.0166089,0.120041884
128,0.001,0.2,5,0.903585460782051,0.016672872,0.12207404
128,0.001,0.2,10,0.8963105720281601,0.017544318,0.12529197
128,0.001,0.2,20,0.9116604310274125,0.016630061,0.12862922
128,0.0005,0.05,5,0.9061054829359054,0.017012462,0.12038899
128,0.0005,0.05,10,0.9019804193973541,0.017418694,0.12690456
128,0.0005,0.05,20,0.9071294260025025,0.016561832,0.12427354
128,0.0005,0.1,5,0.907128124833107,0.01718792,0.13274269
128,0.0005,0.1,10,0.9029054763317108,0.017064827,0.11957125
128,0.0005,0.1,20,0.8957151746749878,0.016786538,0.13723393
128,0.0005,0.2,5,0.9095605554580688,0.016761918,0.12450152
128,0.0005,0.2,10,0.9101769915819168,0.01667665,0.12386544
128,0.0005,0.2,20,0.9045272822380066,0.016961064,0.12066511
128,0.0001,0.05,5,0.8875562918186187,0.01818499,0.14430009
128,0.0001,0.05,10,0.9097751678228378,0.01673824,0.121717006
128,0.0001,0.05,20,0.9134723236560821,0.016931675,0.12360369
128,0.0001,0.1,5,0.9049420830011368,0.01696471,0.12239015
128,0.0001,0.1,10,0.8728560963869095,0.020265922,0.16889407
128,0.0001,0.1,20,0.9096882643699646,0.016974738,0.12846348
128,0.0001,0.2,5,0.9056717036962509,0.017683052,0.14134291
128,0.0001,0.2,10,0.8964474738836289,0.017442852,0.12795028
128,0.0001,0.2,20,0.9040372838973999,0.017252443,0.12152499
256,0.001,0.05,5,0.9102238793373107,0.01673175,0.119953685
256,0.001,0.05,10,0.8177723407745361,0.024652518,0.17321205
256,0.001,0.05,20,0.9038513960838318,0.016541278,0.12005886
256,0.001,0.1,5,0.9039008567333221,0.016678197,0.12962413
256,0.001,0.1,10,0.9009634555578232,0.017496806,0.14168529
256,0.001,0.1,20,0.9087319548130035,0.016371807,0.11931937
256,0.001,0.2,5,0.9082890428304672,0.016601738,0.12294052
256,0.001,0.2,10,0.9142755680084228,0.016355423,0.12271598
256,0.001,0.2,20,0.9113071967363358,0.016614761,0.11876239
256,0.0005,0.05,5,0.8944383013248444,0.017893424,0.12946783
256,0.0005,0.05,10,0.9086355575323105,0.016699776,0.12061166
256,0.0005,0.05,20,0.9083729383945465,0.016335163,0.122038595
256,0.0005,0.1,5,0.8914863156080246,0.016747788,0.12154368
256,0.0005,0.1,10,0.91511075258255,0.016552644,0.11981407
256,0.0005,0.1,20,0.9115260560512543,0.016586414,0.120565936
256,0.0005,0.2,5,0.9029966535568237,0.01801873,0.13163322
256,0.0005,0.2,10,0.9104475774765015,0.016697677,0.116000436
256,0.0005,0.2,20,0.902396089553833,0.017406806,0.12455299
256,0.0001,0.05,5,0.9112558995485306,0.01669754,0.1327712
256,0.0001,0.05,10,0.9104127140045166,0.016723748,0.120118655
256,0.0001,0.05,20,0.9028386989831925,0.01673938,0.121006295
256,0.0001,0.1,5,0.9107818222045898,0.01668829,0.13589351
256,0.0001,0.1,10,0.8080042243003845,0.025247883,0.1896931
256,0.0001,0.1,20,0.9013752733469009,0.016741466,0.118212245
256,0.0001,0.2,5,0.7722630580663681,0.028538082,0.19436911
256,0.0001,0.2,10,0.8944273641109467,0.018464798,0.14257385
256,0.0001,0.2,20,0.9037408949136734,0.017339382,0.13300568
